Ward Code,Ward,District Code,Disctrict,City Code,City/Province
00001,Phường Phúc Xá,001,Quận Ba Đình,01,Thành phố Hà Nội
00004,Phường Trúc Bạch,001,Quận Ba Đình,01,Thành phố Hà Nội
00006,Phường Vĩnh Phúc,001,Quận Ba Đình,01,Thành phố Hà Nội
00007,Phường Cống Vị,001,Quận Ba Đình,01,Thành phố Hà Nội
00008,Phường Liễu Giai,001,Quận Ba Đình,01,Thành phố Hà Nội
00010,Phường Nguyễn Trung Trực,001,Quận Ba Đình,01,Thành phố Hà Nội
00013,Phường Quán Thánh,001,Quận Ba Đình,01,Thành phố Hà Nội
00016,Phường Ngọc Hà,001,Quận Ba Đình,01,Thành phố Hà Nội
00019,Phường Điện Biên,001,Quận Ba Đình,01,Thành phố Hà Nội
00022,Phường Đội Cấn,001,Quận Ba Đình,01,Thành phố Hà Nội
00025,Phường Ngọc Khánh,001,Quận Ba Đình,01,Thành phố Hà Nội
00028,Phường Kim Mã,001,Quận Ba Đình,01,Thành phố Hà Nội
00031,Phường Giảng Võ,001,Quận Ba Đình,01,Thành phố Hà Nội
00034,Phường Thành Công,001,Quận Ba Đình,01,Thành phố Hà Nội
00037,Phường Phúc Tân,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00040,Phường Đồng Xuân,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00043,Phường Hàng Mã,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00046,Phường Hàng Buồm,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00049,Phường Hàng Đào,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00052,Phường Hàng Bồ,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00055,Phường Cửa Đông,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00058,Phường Lý Thái Tổ,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00061,Phường Hàng Bạc,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00064,Phường Hàng Gai,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00067,Phường Chương Dương,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
00070,Phường Hàng Trống,002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
